title,abstract,date,section,url
"Eco activists Prince Harry, Meghan pictured leaving private jet on way to gala giving sustainability award","Royal couple Prince Harry and Meghan Markle, two outspoken environmental activists, were photographed departing a private jet in New York City this week.","December 7, 2022",us,https://www.foxnews.com/politics/eco-activists-prince-harry-meghan-pictured-leaving-private-jet-way-gala-giving-sustainability-award
"Alaska region sees record December heat, beating temperatures from late October to April","A community in Alaska is experiencing unusually warm weather in December. This month saw a new record by six degrees, which also beat temperatures between October and April.","December 6, 2022",us,https://www.foxnews.com/us/alaska-region-sees-record-december-heat-beating-temperatures-late-october-april
"Rashida Tlaib, Ro Khanna join protests against expedited oil lease permitting",Democratic Reps. Rashida Tlaib and Ro Khanna joined climate activists on Capitol Hill Tuesday to protest against Sen. Joe Manchin's deal with party leadership.,"December 6, 2022",us,https://www.foxnews.com/politics/rashida-tlaib-ro-khanna-join-protests-expedited-oil-lease-permitting
Semafor climate editor exits after complaining to bosses about site's 'over-dependence on Chevron sponsorship',"Bill Spindle, climate editor of the recently-launched Semafor, announced he is leaving the digital outlet, citing its ""over-dependence on Chevron sponsorship.""","December 6, 2022",us,https://www.foxnews.com/media/semafor-climate-editor-exits-after-complaining-bosses-sites-over-dependence-on-chevron-sponsorship
Left ripped for pushing nightmarish climate narrative on children: 'Apocalyptic poisoning','The Five' co-hosts discuss how the left's climate hysteria affects children and how it could play a role in their development and how they see the world.,"December 6, 2022",us,https://www.foxnews.com/media/left-ripped-pushing-nightmarish-climate-narrative-children-apocalyptic-poisoning
White House-linked group backed by George Soros wages behind-the-scenes war on gasoline,"A little-known Washington, D.C. group that has advised the Biden administration proposed in a memo to policymakers ways the government could curb the sale of gasoline.","December 6, 2022",us,https://www.foxnews.com/politics/white-house-linked-group-backed-george-soros-wages-behind-scenes-war-gasoline
Incoming Dem whip Clark recalls child ‘waking up with nightmares’ over climate change,Incoming House Democratic Whip Katherine Clark said her generation could bring a new perspective to Congress because her kids grew up being scared about climate change and gun violence.,"December 5, 2022",us,https://www.foxnews.com/politics/incoming-dem-whip-clark-recalls-child-waking-up-nightmares-climate-change
"Just Stop Oil opens door to more extreme protests, including 'slashing' famous artwork","Just Stop Oil, the radical British climate group, said it would consider escalating its protests to include slashing artwork if the government continued fossil fuel drilling.","December 4, 2022",us,https://www.foxnews.com/politics/just-stop-oil-opens-door-more-extreme-protests-including-slashing-famous-artwork
Environmental activist Meghan Markle seen boarding private jet following female empowerment event,"Meghan Markle, who is a vocal climate activist along with her husband Prince Harry, was pictured boarding a private jet after speaking at an Indianapolis women empowerment conference.","December 1, 2022",us,https://www.foxnews.com/politics/environmental-activist-meghan-markle-seen-boarding-private-jet-following-female-empowerment-event
US proposes measures to limit methane leaks caused by oil drilling,The Interior Department has proposed new measures to curb methane leaks from gas drilling. The new rules are a step in preventing further climate change.,"December 1, 2022",us,https://www.foxnews.com/us/us-proposes-measures-limit-methane-leaks-oil-drilling
Biden's energy secretary took meeting with Bill Gates immediately after Senate confirmation,"Secretary of Energy Jennifer Granholm's first private-sector meeting of her tenure at the agency was with billionaire Bill Gates, a vocal proponent of the green transition.","November 24, 2022",us,https://www.foxnews.com/politics/bidens-energy-secretary-took-meeting-bill-gates-immediately-senate-confirmation
Liberal dark money network funneled millions of dollars to groups connected to top WH officials,The nation's largest liberal dark money network funneled millions of dollars to left-wing groups that have deep connections to the White House and Biden administration officials.,"November 22, 2022",us,https://www.foxnews.com/politics/liberal-dark-money-network-funneled-money-groups-connected-top-wh-officials
Pipeline expansion in Pacific Northwest opposed by environmental groups,Environmentalists are opposing the expansion of a natural gas pipeline in the Pacific Northwest because the project does not address the negative impacts of fracking.,"November 21, 2022",us,https://www.foxnews.com/us/pipeline-expansion-pacific-northwest-opposed-environmental-groups
