title,abstract,date,section,url
Three New Year’s Resolutions That Can Help Fight Climate Change,Here are three things you can do to help reduce your personal contribution to climate change while pursuing goals you might already have.,2018-01-03,Climate,https://www.nytimes.com/2018/01/03/climate/climate-change-resolutions.html
Why So Cold? Climate Change May Be Part of the Answer,"Studies suggest that one factor could be warming in the Arctic, which allows more frigid air to escape southward.",2018-01-03,Climate,https://www.nytimes.com/2018/01/03/climate/cold-climate-change.html
Trump Moves to Open Nearly All Offshore Waters to Drilling,"The proposal would give the energy industry access to more than a billion acres, dealing a blow to President Barack Obama’s environmental legacy.",2018-01-04,Climate,https://www.nytimes.com/2018/01/04/climate/trump-offshore-drilling.html
Global Warming’s Toll on Coral Reefs: As if They’re ‘Ravaged by War’,"Mass bleaching of coral reefs, once virtually unknown, now happens every six years on average, new research finds. The reefs don’t have time to recover.",2018-01-04,Climate,https://www.nytimes.com/2018/01/04/climate/coral-reefs-bleaching.html
2017 Set a Record for Losses From Natural Disasters. It Could Get Worse.,"Hurricanes, fires and floods drove insurance payouts to $135 billion last year.",2018-01-04,Climate,https://www.nytimes.com/2018/01/04/climate/losses-natural-disasters-insurance.html
Expect Environmental Battles to Be ‘Even More Significant’ in 2018,The Trump administration offered grand pronouncements about environmental deregulation in 2017. But this is the year to hammer out the details.,2018-01-05,Climate,https://www.nytimes.com/2018/01/05/climate/trump-environment-2018.html
These Billion-Dollar Natural Disasters Set a U.S. Record in 2017, A blow by blow of the cost of the major weather-related disasters this year.,2018-01-08,Climate,https://www.nytimes.com/2018/01/08/climate/2017-weather-disasters.html
Rick Perry’s Plan to Rescue Struggling Coal and Nuclear Plants Is Rejected,"In a blow to the Trump administration, a federal panel turned down a proposal by Energy Secretary Rick Perry to subsidize struggling plants.",2018-01-08,Climate,https://www.nytimes.com/2018/01/08/climate/trump-coal-nuclear.html
"Emperor Penguins: Good Dads, but Less Dedicated Than You May Have Thought","""March of the Penguins” showed penguins going up to 115 days without food, but new research suggests that many hunted for food during breeding season.",2018-01-09,Science,https://www.nytimes.com/2018/01/09/science/emperor-penguins-dads.html
Trump Administration Drops Florida From Offshore Drilling Plan,"The state’s Republican governor, Rick Scott, had opposed the proposal to allow new offshore oil and gas drilling in nearly all United States waters.",2018-01-10,Climate,https://www.nytimes.com/2018/01/09/climate/trump-florida-offshore-drilling.html
How a Coal Baron’s Wish List Became President Trump’s To-Do List,"Robert E. Murray, the chief executive of Murray Energy, wrote a lengthy “action plan” last year for President Trump. There’s not much left undone.",2018-01-10,Climate,https://www.nytimes.com/2018/01/09/climate/coal-murray-trump-memo.html
